མཆན།	ཆོས་ཚན།	དབུ།	རྒྱབ་འདུན།	དབུ་ཤོག་ཐིག་གྲངས།	ཤོག་ངོས་གཞན་གྱི་ཐིག་གྲངས།	ཞབས།	རྒྱབ་འདུན།	ཞབས་ཀྱི་ཐིག་གྲངས།	ཤོག་ངོས་༡ པོའི་ཐིག་གྲངས།	ཤོག་ངོས་༢ པའི་ཐིག་གྲངས།					
	D1118	63	b	5	7	67	b	3	7	7					
	D3871	1	a	5	7	40	a	7	7	7					
	1-10 བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ།_conc-corrected.txt	76	b	7	7	79	a	2	7	7					
	1-100 རྟེན་འབྱུང་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ།_conc.txt	146	b	2	7	146	b	7	7	7					
	1-101 རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ།_conc-corrected.txt	146	b	7	7	149	a	2	7	7					
	1-102 མ་རྟོགས་པ་རྟོགས་པར་བྱེད་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc-corrected.txt	149	a	2	7	150	a	4	7	7					
	1-103 སྲིད་པ་འཕོ་བ།_conc-corrected.txt	151	a	1	7	151	b	6	7	7					
	1-104 རང་བཞིན་གསུམ་ལ་འཇུག་པའི་སྒྲུབ་པ།_conc-corrected.txt	281	a	4	7	282	b	3	7	7					
ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག	1-105 བསྒོམ་པའི་རིམ་པ།_conc-corrected.txt	1	b	1	7	4	a	3	5	5					
	1-106 འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt	18	a	3	7	20	b	4	7	7					
	1-107 འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ།_conc-corrected.txt	20	b	4	7	55	b	3	7	7					
	1-108 བྱང་ཆུབ་ཀྱི་ལྟུང་བ་བཤགས་པའི་འགྲེལ་པ།_conc-corrected.txt	178	a	4	7	187	b	3	7	7					
	1-109 འཕགས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་རྣམ་པར་འགྲེལ་པ།_conc.txt	222	b	1	7	223	a	4	7	7					
	1-11 བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ།_conc-corrected.txt	79	a	2	7	79	b	6	7	7					
དབུའི་ཐིག་ཕྲེང་གཅིག་ཟགས་འདུག	1-110 འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt	1	b	1	7	4	b	1	5	5					
དབུའི་མཚན་བྱང་ཆད་འདུག	1-111 བསླབ་པ་བཅུའི་ཆོ་ག_conc-corrected.txt	252	b	6	7	253	a	7	7	7					
དག་བརྩོན་ལྡན་པར། །Enterཆོས	1-112 རྒྱལ་པོ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ།_conc-corrected.txt	107	a	1	7	126	a	4	7	7					
	1-113 རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།_conc-corrected.txt	165	a	5	7	166	b	5	7	7					
	1-114 སྦྱིན་པའི་གཏམ།_conc-corrected.txt	166	b	5	7	167	b	1	7	7					
	1-115 སྲིད་པ་ལས་འདས་པའི་གཏམ།_conc-corrected.txt	167	b	1	7	168	a	4	7	7					
	1-116 བཤེས་པའི་སྤྲིང་ཡིག_conc-corrected.txt	40	b	4	7	46	b	3	7	7					
མཚན་བྱང་ཆད་འདུག་པ་མ་ཟད་དབུའི་ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག	1-117 སྦྱོར་བ་བརྒྱ་པ།_conc-corrected.txt	1	b	1	7	8	b	4	5	5					
འདིའི་དབུའི་ཡི་གེ་ཁ་ཤས་ཆད་འདུག་པ་མ་ཟད་ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག	1-118 བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག_conc-corrected.txt	12	a	4	7	13	a	7	7	7					
འདིའི་མཚན་བྱང་ཆད་འདུག	1-119 སྤོས་སྦྱོར་རིན་པོ་ཆེའི་ཕྲེང་བ་ཞེས་བྱ་བ།_conc-corrected.txt	29	b	1	7	29	b	4	7	7					
	1-12 བླ་ན་མེད་པའི་བསྟོད་པ།_conc-corrected.txt	79	b	7	7	80	a	4	7	7					
	1-120 སྤོས་ཀྱི་སྦྱོར་བ་རེའུ་ཆར་བྱས་པ།_conc-corrected.txt	18	a	2	7	18	b	2	7	7					
	1-122 ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc-corrected.txt	99	b	4	7	103	a	7	7	7					
འདིའི་མཇུག་ཏུ་ཐིག་ཕྲེང་གཅིག་ལྷག་མ་འདུག་པས་དེ་བཟོས་ཡོད།	1-123 ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ་ཞེས་བྱ་བ།_conc-corrected.txt	103	a	7	7	113	a	4	7	7					
	1-124 ལུགས་ཀྱི་བསྟན་བཅོས་སྐྱེ་བོ་གསོ་བའི་ཐིགས་པ་ཞེས་བྱ་བ།_conc-corrected.txt	113	a	4	7	116	b	4	7	7					
	1-125 རྡོ་རྗེའི་སྨོན་ལམ།_conc-corrected.txt	315	a	5	7	316	a	3	7	7					
	1-126 བྱང་ཆུབ་འབྱུང་བའི་སྨོན་ལམ།_conc-corrected.txt	316	a	3	7	317	a	3	7	7					
	1-127 སྨོན་ལམ་རིན་པོ་ཆེའི་རྒྱལ་པོ་ཞེས་བྱ་བ།_conc-corrected.txt	325	b	6	7	326	b	7	7	7					
	1-128 བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།a_conc-corrected.txt	347	a	7	7	349	a	3	7	7					
